context_id,time_of_day,hour,location,occasion,price_shown
ctx_071,late_night,22,work,evening,4.17
ctx_072,late_night,0,store,morning,1.13
ctx_073,evening,18,cafe,morning,3.11
ctx_074,late_night,1,home,evening,4.12
ctx_075,morning,10,work,evening,2.9
ctx_076,late_night,22,store,late_night,5.15
ctx_077,late_night,4,outdoor,afternoon,2.81
ctx_078,evening,20,cafe,post_gym,5.74
ctx_079,late_night,21,cafe,work,5.34
ctx_080,late_night,23,bar,afternoon,3.36
ctx_081,afternoon,16,work,post_gym,3.56
ctx_082,morning,8,work,morning,3.01
ctx_083,morning,8,outdoor,afternoon,5.17
ctx_084,late_night,3,work,social,5.5
ctx_085,late_night,1,store,morning,1.09
ctx_086,evening,17,gym,social,3.88
ctx_087,morning,5,work,work,3.03
ctx_088,morning,5,work,late_night,2.03
ctx_089,morning,9,outdoor,morning,2.32
ctx_090,morning,5,bar,social,4.0
ctx_091,evening,20,store,social,5.57
ctx_092,evening,20,cafe,afternoon,3.59
ctx_093,late_night,1,cafe,afternoon,4.69
ctx_094,evening,18,gym,late_night,4.85
ctx_095,evening,20,bar,post_gym,2.78
ctx_096,afternoon,16,bar,evening,4.05
ctx_097,late_night,21,work,evening,4.32
ctx_098,late_night,21,outdoor,morning,3.42
ctx_099,late_night,3,store,late_night,1.81
ctx_100,evening,19,bar,work,3.48
ctx_101,afternoon,12,bar,social,4.12
ctx_102,late_night,1,gym,work,1.38
ctx_103,afternoon,16,home,work,4.52
ctx_104,morning,7,work,work,2.23
ctx_105,late_night,2,work,morning,1.01
ctx_106,evening,18,outdoor,afternoon,3.95
ctx_107,evening,18,gym,late_night,5.04
ctx_108,afternoon,16,gym,work,5.75
ctx_109,late_night,22,home,evening,1.43
ctx_110,afternoon,15,bar,evening,5.03
ctx_111,late_night,22,gym,afternoon,4.19
ctx_112,morning,7,home,social,3.45
ctx_113,afternoon,14,bar,social,1.26
ctx_114,afternoon,14,work,evening,6.0
ctx_115,evening,20,outdoor,social,2.56
ctx_116,afternoon,14,gym,evening,2.49
ctx_117,afternoon,15,work,post_gym,5.72
ctx_118,evening,17,store,afternoon,1.27
ctx_119,late_night,2,work,post_gym,5.14
ctx_120,afternoon,16,outdoor,evening,2.82
ctx_121,morning,11,cafe,morning,1.38
ctx_122,late_night,4,bar,social,4.62
ctx_123,morning,11,store,evening,5.02
ctx_124,late_night,3,gym,afternoon,2.59
ctx_125,evening,17,home,morning,4.08
ctx_126,late_night,1,store,post_gym,5.35
ctx_127,late_night,22,gym,morning,2.92
ctx_128,late_night,2,bar,evening,1.05
ctx_129,afternoon,16,gym,afternoon,3.4
ctx_130,afternoon,15,cafe,evening,2.99
ctx_131,morning,6,cafe,morning,4.66
ctx_132,afternoon,16,bar,morning,2.77
ctx_133,evening,17,cafe,social,2.17
ctx_134,afternoon,15,home,morning,5.94
ctx_135,morning,8,store,work,2.96
ctx_136,late_night,3,cafe,post_gym,5.75
ctx_137,late_night,4,bar,late_night,3.09
ctx_138,late_night,23,store,afternoon,4.0
ctx_139,afternoon,12,work,work,4.72
ctx_140,late_night,3,bar,late_night,5.19
ctx_141,late_night,21,gym,post_gym,3.56
ctx_142,morning,9,bar,social,2.92
ctx_143,morning,8,home,social,4.9
ctx_144,morning,5,gym,morning,4.15
ctx_145,late_night,22,home,work,5.64
ctx_146,afternoon,16,gym,post_gym,2.98
ctx_147,evening,17,work,afternoon,5.98
ctx_148,late_night,2,bar,afternoon,4.11
ctx_149,afternoon,14,home,work,5.47
ctx_150,late_night,4,work,post_gym,5.39
ctx_151,late_night,2,bar,late_night,3.38
ctx_152,late_night,2,home,social,5.31
ctx_153,morning,8,store,work,3.75
ctx_154,late_night,1,cafe,evening,1.03
ctx_155,late_night,4,work,social,1.41
ctx_156,afternoon,15,gym,late_night,1.38
ctx_157,afternoon,16,work,morning,3.4
ctx_158,evening,18,work,post_gym,2.74
ctx_159,late_night,1,bar,morning,2.34
ctx_160,morning,5,bar,late_night,5.25
ctx_161,afternoon,15,home,morning,5.19
ctx_162,evening,20,work,late_night,4.09
ctx_163,morning,5,cafe,evening,5.41
ctx_164,afternoon,12,work,work,1.15
ctx_165,late_night,22,work,social,5.1
ctx_166,evening,20,outdoor,evening,1.8
ctx_167,late_night,3,work,afternoon,4.78
ctx_168,morning,11,store,social,2.44
ctx_169,afternoon,13,bar,work,3.8
ctx_170,morning,7,store,social,4.17
ctx_171,late_night,23,gym,post_gym,1.64
ctx_172,evening,18,outdoor,evening,3.71
ctx_173,late_night,1,store,late_night,4.16
ctx_174,late_night,4,gym,afternoon,5.69
ctx_175,late_night,3,work,late_night,2.5
ctx_176,afternoon,16,cafe,afternoon,4.54
ctx_177,late_night,21,home,afternoon,4.1
ctx_178,evening,17,work,afternoon,5.87
ctx_179,morning,11,cafe,post_gym,1.65
ctx_180,morning,11,store,morning,1.11
ctx_181,morning,5,store,evening,5.09
ctx_182,morning,10,work,evening,3.23
ctx_183,afternoon,13,work,morning,5.72
ctx_184,late_night,2,gym,work,1.82
ctx_185,late_night,22,gym,morning,2.49
ctx_186,late_night,1,store,afternoon,2.15
ctx_187,morning,10,bar,post_gym,5.75
ctx_188,morning,11,cafe,morning,5.72
ctx_189,afternoon,15,gym,post_gym,5.82
ctx_190,evening,18,home,morning,5.92
ctx_191,late_night,0,work,late_night,4.62
ctx_192,late_night,1,gym,post_gym,1.16
ctx_193,late_night,23,cafe,social,5.32
ctx_194,afternoon,15,bar,late_night,1.93
ctx_195,afternoon,16,gym,morning,1.77
ctx_196,afternoon,13,work,late_night,1.09
ctx_197,morning,11,gym,late_night,5.84
ctx_198,evening,19,outdoor,evening,3.41
ctx_199,afternoon,13,store,work,4.04
ctx_200,evening,19,cafe,work,2.0
ctx_201,late_night,21,outdoor,morning,2.34
ctx_202,late_night,23,bar,morning,1.75
ctx_203,evening,20,work,afternoon,2.96
ctx_204,afternoon,13,store,evening,4.61
ctx_205,morning,10,gym,work,5.3
ctx_206,morning,5,home,post_gym,3.4
ctx_207,late_night,23,home,work,1.51
ctx_208,afternoon,13,store,afternoon,4.09
ctx_209,evening,19,home,social,4.88
ctx_210,evening,17,cafe,work,3.59
ctx_211,late_night,0,home,morning,1.41
ctx_212,afternoon,12,cafe,social,2.98
ctx_213,late_night,1,outdoor,evening,2.0
ctx_214,evening,17,store,social,1.21
ctx_215,morning,11,home,post_gym,1.62
ctx_216,morning,5,home,afternoon,4.08
ctx_217,morning,8,work,late_night,5.35
ctx_218,evening,17,cafe,afternoon,4.92
ctx_219,afternoon,14,bar,evening,1.4
ctx_220,evening,19,cafe,afternoon,5.09
ctx_221,late_night,2,store,work,1.82
ctx_222,afternoon,13,bar,social,1.3
ctx_223,late_night,22,cafe,morning,3.4
ctx_224,evening,18,work,post_gym,5.88
ctx_225,late_night,3,gym,morning,4.95
ctx_226,late_night,22,bar,late_night,3.78
ctx_227,evening,17,bar,afternoon,2.66
ctx_228,late_night,23,home,post_gym,4.25
ctx_229,morning,9,bar,post_gym,2.1
ctx_230,late_night,21,store,evening,2.29
ctx_231,morning,11,home,afternoon,5.8
ctx_232,late_night,23,cafe,morning,2.73
ctx_233,morning,11,outdoor,late_night,3.52
ctx_234,evening,17,home,post_gym,3.89
ctx_235,late_night,3,work,morning,2.98
ctx_236,late_night,3,work,evening,5.5
ctx_237,morning,5,store,social,5.96
ctx_238,late_night,21,gym,late_night,2.92
ctx_239,evening,17,gym,evening,2.18
ctx_240,morning,7,cafe,afternoon,1.9
ctx_241,morning,11,outdoor,afternoon,3.56
ctx_242,late_night,4,gym,afternoon,3.46
ctx_243,late_night,21,cafe,morning,3.23
ctx_244,late_night,23,store,work,4.31
ctx_245,morning,6,outdoor,work,2.96
ctx_246,late_night,1,bar,morning,1.05
ctx_247,late_night,0,cafe,late_night,5.85
ctx_248,afternoon,14,store,post_gym,5.42
ctx_249,late_night,21,outdoor,social,3.24
ctx_250,morning,11,outdoor,work,3.15
ctx_251,evening,19,bar,late_night,4.53
ctx_252,late_night,21,cafe,late_night,1.18
ctx_253,late_night,4,store,morning,3.67
ctx_254,afternoon,16,home,late_night,3.23
ctx_255,afternoon,14,store,afternoon,2.03
ctx_256,evening,19,work,afternoon,1.29
ctx_257,late_night,4,cafe,social,1.2
ctx_258,late_night,22,bar,afternoon,1.9
ctx_259,late_night,4,home,work,3.92
ctx_260,morning,11,work,late_night,5.93
ctx_261,late_night,23,bar,post_gym,1.09
ctx_262,evening,17,gym,work,3.9
ctx_263,late_night,23,store,post_gym,3.44
ctx_264,morning,11,outdoor,late_night,1.63
ctx_265,afternoon,12,cafe,social,2.01
ctx_266,late_night,22,work,morning,1.47
ctx_267,morning,7,gym,afternoon,5.34
ctx_268,late_night,21,store,social,4.31
ctx_269,late_night,22,work,post_gym,4.42
ctx_270,evening,17,work,work,5.15
ctx_271,afternoon,14,home,late_night,1.57
ctx_272,afternoon,13,cafe,work,4.0
ctx_273,afternoon,15,outdoor,morning,4.33
ctx_274,morning,8,work,afternoon,4.29
ctx_275,evening,17,outdoor,evening,5.89
ctx_276,morning,8,home,morning,4.91
ctx_277,afternoon,12,store,work,1.55
ctx_278,late_night,1,gym,afternoon,2.64
ctx_279,morning,5,bar,afternoon,5.51
ctx_280,afternoon,12,home,evening,3.18
ctx_281,morning,10,home,afternoon,3.72
ctx_282,evening,20,store,work,2.83
ctx_283,morning,6,store,morning,2.9
ctx_284,late_night,0,home,work,3.22
ctx_285,morning,5,work,post_gym,4.02
ctx_286,afternoon,13,outdoor,social,4.8
ctx_287,morning,8,bar,morning,5.32
ctx_288,afternoon,15,work,afternoon,5.57
ctx_289,morning,11,gym,social,3.63
ctx_290,afternoon,14,cafe,late_night,4.04
ctx_291,afternoon,15,store,afternoon,4.73
ctx_292,morning,11,bar,post_gym,1.09
ctx_293,late_night,22,bar,evening,5.48
ctx_294,evening,20,cafe,evening,2.22
ctx_295,morning,10,bar,evening,1.99
ctx_296,afternoon,12,outdoor,post_gym,1.51
ctx_297,late_night,3,gym,late_night,4.35
ctx_298,afternoon,14,cafe,post_gym,3.9
ctx_299,morning,9,cafe,afternoon,4.58
ctx_300,afternoon,16,gym,late_night,5.12
ctx_301,morning,10,store,evening,5.3
ctx_302,morning,6,gym,evening,4.55
ctx_303,late_night,23,home,social,1.93
ctx_304,late_night,23,cafe,late_night,3.42
ctx_305,morning,6,outdoor,work,2.87
ctx_306,afternoon,12,work,evening,5.76
ctx_307,late_night,22,outdoor,afternoon,3.58
ctx_308,morning,8,work,work,4.23
ctx_309,late_night,23,work,work,5.2
ctx_310,morning,7,home,social,2.28
ctx_311,late_night,3,work,post_gym,5.26
ctx_312,morning,6,work,work,1.48
ctx_313,late_night,3,work,work,3.12
ctx_314,late_night,4,store,work,4.68
ctx_315,late_night,1,home,evening,3.68
ctx_316,late_night,21,gym,evening,2.15
ctx_317,morning,6,bar,social,2.28
ctx_318,afternoon,12,gym,work,3.48
ctx_319,late_night,1,bar,evening,4.48
ctx_320,late_night,2,work,afternoon,3.23
ctx_321,morning,8,home,post_gym,5.96
ctx_322,afternoon,13,bar,late_night,4.62
ctx_323,morning,9,store,morning,1.4
ctx_324,morning,7,gym,work,3.98
ctx_325,morning,8,home,post_gym,2.72
ctx_326,morning,6,cafe,morning,3.6
ctx_327,late_night,1,cafe,morning,1.35
ctx_328,evening,20,outdoor,social,4.4
ctx_329,morning,11,gym,social,2.67
ctx_330,morning,5,work,evening,2.89
ctx_331,morning,5,home,post_gym,4.65
ctx_332,evening,19,outdoor,late_night,1.44
ctx_333,late_night,4,gym,morning,4.45
ctx_334,late_night,22,work,afternoon,3.11
ctx_335,late_night,22,cafe,work,2.5
ctx_336,morning,7,cafe,post_gym,5.64
ctx_337,afternoon,12,store,late_night,5.87
ctx_338,late_night,21,gym,late_night,5.64
ctx_339,morning,11,home,work,4.36
ctx_340,evening,19,outdoor,afternoon,1.45
ctx_341,morning,6,home,morning,5.13
ctx_342,morning,5,cafe,social,1.32
ctx_343,late_night,3,home,evening,2.32
ctx_344,late_night,1,home,morning,2.73
ctx_345,morning,8,home,post_gym,5.13
ctx_346,late_night,22,work,late_night,5.37
ctx_347,morning,5,bar,afternoon,3.48
ctx_348,late_night,21,cafe,morning,2.96
ctx_349,morning,11,store,work,1.58
ctx_350,evening,17,gym,post_gym,4.37
ctx_351,morning,9,outdoor,afternoon,5.03
ctx_352,afternoon,15,store,late_night,5.09
ctx_353,afternoon,14,gym,post_gym,1.87
ctx_354,late_night,1,bar,social,5.79
ctx_355,evening,17,work,work,3.88
ctx_356,late_night,21,home,late_night,4.03
ctx_357,late_night,0,outdoor,afternoon,5.15
ctx_358,evening,19,bar,post_gym,2.99
ctx_359,afternoon,12,gym,social,1.34
ctx_360,late_night,1,cafe,work,2.16
ctx_361,afternoon,12,cafe,late_night,5.83
ctx_362,afternoon,12,store,afternoon,5.38
ctx_363,morning,5,gym,post_gym,4.1
ctx_364,late_night,22,bar,evening,1.31
ctx_365,evening,18,work,social,2.06
ctx_366,morning,10,work,morning,4.1
ctx_367,afternoon,14,home,evening,2.2
ctx_368,late_night,2,gym,work,4.91
ctx_369,afternoon,13,bar,evening,4.46
ctx_370,late_night,0,cafe,late_night,5.98
ctx_371,afternoon,16,gym,evening,2.1
ctx_372,evening,19,cafe,late_night,5.24
ctx_373,evening,17,store,morning,5.43
ctx_374,late_night,2,store,post_gym,3.07
ctx_375,afternoon,13,store,morning,2.94
ctx_376,late_night,4,outdoor,evening,3.08
ctx_377,evening,20,outdoor,afternoon,2.3
ctx_378,morning,9,store,social,1.95
ctx_379,late_night,4,home,morning,1.06
ctx_380,evening,17,gym,morning,1.99
ctx_381,late_night,4,gym,late_night,2.86
ctx_382,afternoon,16,cafe,post_gym,3.27
ctx_383,evening,19,store,morning,3.44
ctx_384,late_night,3,work,late_night,2.22
ctx_385,evening,17,bar,work,4.07
ctx_386,morning,5,work,morning,5.78
ctx_387,afternoon,16,home,work,4.29
ctx_388,morning,8,home,social,3.19
ctx_389,late_night,0,work,social,1.19
ctx_390,morning,7,gym,late_night,4.19
ctx_391,late_night,1,bar,afternoon,4.18
ctx_392,afternoon,14,home,late_night,3.25
ctx_393,afternoon,12,bar,morning,4.69
ctx_394,late_night,0,store,morning,1.24
ctx_395,morning,7,home,evening,4.58
ctx_396,afternoon,12,bar,post_gym,1.06
ctx_397,late_night,4,cafe,morning,2.94
ctx_398,afternoon,13,cafe,post_gym,5.85
ctx_399,evening,18,store,post_gym,1.93
ctx_400,morning,10,work,morning,3.75
ctx_401,late_night,21,work,afternoon,1.41
ctx_402,afternoon,15,cafe,work,2.48
ctx_403,morning,7,home,work,2.91
ctx_404,evening,17,bar,work,2.28
ctx_405,late_night,3,outdoor,work,4.22
ctx_406,late_night,22,outdoor,evening,5.84
ctx_407,evening,20,cafe,late_night,3.37
ctx_408,late_night,1,outdoor,morning,3.91
ctx_409,afternoon,15,cafe,social,1.64
ctx_410,afternoon,14,home,social,2.12
ctx_411,morning,7,bar,afternoon,3.2
ctx_412,evening,17,outdoor,late_night,2.2
ctx_413,evening,20,cafe,post_gym,5.43
ctx_414,late_night,23,gym,post_gym,4.36
ctx_415,late_night,22,store,work,2.29
ctx_416,afternoon,14,work,morning,4.78
ctx_417,evening,20,outdoor,afternoon,4.64
ctx_418,morning,6,store,late_night,1.27
ctx_419,late_night,21,outdoor,post_gym,2.35
ctx_420,afternoon,12,work,social,1.66
ctx_421,afternoon,14,cafe,post_gym,5.83
ctx_422,afternoon,14,bar,evening,5.2
ctx_423,afternoon,12,outdoor,post_gym,4.79
ctx_424,late_night,0,bar,evening,1.53
ctx_425,late_night,22,gym,afternoon,5.37
ctx_426,afternoon,14,home,morning,1.8
ctx_427,morning,9,work,work,4.71
ctx_428,late_night,2,home,late_night,1.5
ctx_429,morning,9,work,post_gym,2.55
ctx_430,evening,20,outdoor,evening,4.07
ctx_431,late_night,1,home,morning,3.69
ctx_432,late_night,3,outdoor,social,4.8
ctx_433,late_night,21,cafe,work,1.06
ctx_434,late_night,1,gym,work,4.39
ctx_435,afternoon,15,bar,evening,2.53
ctx_436,late_night,23,bar,morning,1.62
ctx_437,afternoon,14,gym,late_night,4.61
ctx_438,late_night,23,outdoor,post_gym,1.69
ctx_439,morning,5,gym,afternoon,4.48
ctx_440,evening,20,work,afternoon,1.83
ctx_441,afternoon,12,cafe,work,3.94
ctx_442,late_night,3,gym,afternoon,4.62
ctx_443,late_night,4,work,evening,4.51
ctx_444,late_night,23,outdoor,social,4.0
ctx_445,evening,18,store,late_night,5.13
ctx_446,afternoon,16,store,afternoon,1.74
ctx_447,late_night,23,gym,late_night,4.92
ctx_448,morning,5,gym,evening,5.13
ctx_449,evening,18,gym,late_night,1.61
ctx_450,afternoon,16,store,work,1.44
ctx_451,evening,19,home,post_gym,5.01
ctx_452,afternoon,14,bar,work,5.67
ctx_453,afternoon,12,home,work,4.19
ctx_454,evening,19,store,post_gym,4.43
ctx_455,afternoon,14,outdoor,late_night,2.92
ctx_456,morning,8,work,morning,1.92
ctx_457,morning,9,work,post_gym,1.13
ctx_458,afternoon,16,outdoor,afternoon,3.93
ctx_459,morning,5,home,post_gym,2.49
ctx_460,evening,20,bar,social,5.26
ctx_461,evening,18,gym,morning,3.31
ctx_462,evening,19,home,morning,3.29
ctx_463,late_night,4,cafe,afternoon,4.16
ctx_464,morning,6,store,social,5.55
ctx_465,late_night,23,home,late_night,4.83
ctx_466,late_night,21,outdoor,late_night,1.66
ctx_467,evening,19,home,late_night,1.07
ctx_468,late_night,23,cafe,social,2.41
ctx_469,morning,6,bar,evening,5.53
ctx_470,late_night,23,work,afternoon,3.14
ctx_471,afternoon,12,outdoor,late_night,1.78
ctx_472,late_night,3,bar,late_night,4.1
ctx_473,morning,10,home,morning,3.66
ctx_474,late_night,0,bar,evening,1.43
ctx_475,afternoon,14,work,post_gym,5.82
ctx_476,afternoon,14,store,morning,1.26
ctx_477,morning,11,outdoor,work,3.47
ctx_478,evening,20,work,morning,4.27
ctx_479,late_night,4,home,post_gym,2.54
ctx_480,evening,20,cafe,work,1.92
ctx_481,late_night,0,work,morning,2.13
ctx_482,morning,9,home,evening,4.42
ctx_483,late_night,0,home,morning,2.14
ctx_484,morning,10,home,evening,4.54
ctx_485,afternoon,16,work,afternoon,2.13
ctx_486,late_night,1,home,social,1.83
ctx_487,late_night,1,outdoor,work,4.35
ctx_488,late_night,1,bar,morning,4.75
ctx_489,morning,11,store,afternoon,5.03
ctx_490,morning,9,bar,post_gym,4.93
ctx_491,morning,6,gym,late_night,3.72
ctx_492,late_night,3,outdoor,late_night,3.6
ctx_493,late_night,23,gym,evening,5.4
ctx_494,afternoon,13,bar,morning,3.26
ctx_495,afternoon,16,store,social,1.33
ctx_496,late_night,2,cafe,work,2.95
ctx_497,late_night,2,outdoor,evening,4.28
ctx_498,evening,17,bar,post_gym,3.21
ctx_499,morning,10,cafe,social,1.47
ctx_500,morning,8,cafe,morning,4.17
ctx_501,late_night,22,home,evening,1.98
ctx_502,afternoon,13,work,social,3.24
ctx_503,morning,5,cafe,social,2.58
ctx_504,late_night,2,gym,post_gym,5.49
ctx_505,morning,10,outdoor,work,3.99
ctx_506,late_night,22,gym,late_night,5.1
ctx_507,late_night,4,cafe,afternoon,4.08
ctx_508,late_night,21,bar,work,5.02
ctx_509,afternoon,13,store,work,3.09
ctx_510,late_night,22,gym,morning,4.63
ctx_511,late_night,1,cafe,late_night,5.41
ctx_512,late_night,22,bar,morning,3.8
ctx_513,late_night,0,cafe,work,5.11
ctx_514,late_night,4,bar,morning,2.68
ctx_515,morning,8,cafe,afternoon,3.7
ctx_516,evening,18,cafe,late_night,5.94
ctx_517,late_night,1,store,late_night,3.3
ctx_518,evening,20,work,afternoon,5.14
ctx_519,afternoon,15,gym,late_night,5.13
ctx_520,late_night,0,gym,post_gym,1.71
ctx_521,morning,8,bar,evening,1.96
ctx_522,morning,10,home,evening,4.1
ctx_523,late_night,21,home,morning,5.03
ctx_524,afternoon,14,bar,post_gym,1.16
ctx_525,afternoon,15,work,social,2.57
ctx_526,late_night,23,cafe,evening,1.87
ctx_527,morning,8,cafe,late_night,5.96
ctx_528,late_night,22,store,evening,2.7
ctx_529,afternoon,14,outdoor,evening,2.06
ctx_530,late_night,2,home,morning,3.04
ctx_531,evening,19,outdoor,late_night,5.36
ctx_532,morning,6,home,post_gym,1.3
ctx_533,afternoon,14,work,post_gym,5.54
ctx_534,late_night,22,bar,post_gym,2.95
ctx_535,afternoon,13,outdoor,afternoon,5.32
ctx_536,morning,7,outdoor,post_gym,3.06
ctx_537,afternoon,13,bar,late_night,1.09
ctx_538,morning,7,outdoor,social,5.83
ctx_539,late_night,21,home,post_gym,5.86
ctx_540,late_night,2,work,post_gym,5.02
ctx_541,evening,19,gym,evening,4.11
ctx_542,morning,8,bar,late_night,5.15
ctx_543,evening,18,store,late_night,1.56
ctx_544,morning,5,gym,morning,1.34
ctx_545,afternoon,16,outdoor,work,1.06
ctx_546,late_night,23,cafe,work,5.12
ctx_547,evening,20,bar,work,2.5
ctx_548,morning,8,cafe,post_gym,5.51
ctx_549,morning,7,work,work,2.65
ctx_550,late_night,21,home,evening,4.13
ctx_551,afternoon,15,gym,afternoon,4.97
ctx_552,morning,11,bar,post_gym,5.98
ctx_553,evening,17,gym,evening,4.29
ctx_554,afternoon,15,cafe,morning,3.99
ctx_555,late_night,0,gym,morning,3.63
ctx_556,morning,8,cafe,post_gym,5.15
ctx_557,late_night,23,home,morning,4.47
ctx_558,morning,7,cafe,afternoon,3.17
ctx_559,afternoon,14,store,work,2.7
ctx_560,evening,19,gym,afternoon,4.04
ctx_561,evening,18,outdoor,late_night,4.94
ctx_562,evening,18,cafe,evening,3.56
ctx_563,late_night,3,outdoor,late_night,3.44
ctx_564,late_night,21,cafe,social,2.36
ctx_565,late_night,22,home,work,2.34
ctx_566,morning,5,outdoor,afternoon,2.27
ctx_567,afternoon,16,gym,late_night,4.02
ctx_568,morning,7,bar,late_night,3.35
ctx_569,afternoon,12,home,post_gym,1.98
ctx_570,late_night,2,gym,late_night,2.03
ctx_571,afternoon,12,gym,afternoon,5.27
ctx_572,afternoon,16,outdoor,post_gym,5.22
ctx_573,late_night,0,work,evening,5.01
ctx_574,afternoon,16,outdoor,social,2.47
ctx_575,morning,8,home,morning,2.42
ctx_576,afternoon,16,gym,post_gym,5.4
ctx_577,late_night,22,home,evening,3.47
ctx_578,morning,10,outdoor,post_gym,3.25
ctx_579,afternoon,13,gym,work,2.95
ctx_580,evening,18,cafe,morning,4.57
ctx_581,morning,11,gym,work,5.12
ctx_582,morning,6,cafe,social,4.61
ctx_583,afternoon,13,store,afternoon,2.29
ctx_584,late_night,22,home,evening,5.36
ctx_585,evening,17,work,late_night,2.92
ctx_586,late_night,3,work,morning,1.61
ctx_587,morning,7,cafe,work,1.36
ctx_588,evening,18,store,work,5.71
ctx_589,morning,8,work,social,5.44
ctx_590,afternoon,12,work,afternoon,4.18
ctx_591,late_night,21,home,work,1.77
ctx_592,late_night,2,cafe,afternoon,1.6
ctx_593,late_night,1,gym,afternoon,5.15
ctx_594,morning,7,work,work,4.47
ctx_595,morning,11,bar,post_gym,3.43
ctx_596,afternoon,12,store,social,5.55
ctx_597,afternoon,16,store,evening,3.33
ctx_598,late_night,23,home,afternoon,5.23
ctx_599,late_night,21,bar,social,3.02
ctx_600,afternoon,12,store,work,2.53
ctx_601,morning,11,work,post_gym,3.25
ctx_602,morning,11,store,work,3.15
ctx_603,morning,7,bar,social,2.85
ctx_604,late_night,21,cafe,late_night,4.44
ctx_605,morning,6,work,late_night,3.15
ctx_606,late_night,3,gym,work,2.73
ctx_607,evening,19,bar,morning,3.59
ctx_608,evening,17,cafe,post_gym,2.7
ctx_609,morning,10,home,work,4.39
ctx_610,late_night,4,work,late_night,3.9
ctx_611,morning,5,home,evening,4.44
ctx_612,afternoon,12,work,morning,2.14
ctx_613,late_night,23,bar,post_gym,5.82
ctx_614,late_night,3,work,post_gym,2.04
ctx_615,morning,10,bar,social,2.98
ctx_616,morning,5,bar,morning,3.29
ctx_617,morning,9,gym,social,1.58
ctx_618,morning,9,cafe,morning,3.37
ctx_619,morning,5,cafe,social,5.13
ctx_620,afternoon,16,gym,morning,4.03
ctx_621,evening,19,home,morning,5.85
ctx_622,late_night,21,cafe,morning,1.77
ctx_623,afternoon,16,gym,social,1.84
ctx_624,evening,20,bar,evening,3.2
ctx_625,morning,9,work,morning,1.97
ctx_626,afternoon,16,gym,afternoon,4.39
ctx_627,evening,20,cafe,post_gym,3.79
