product_1,product_2,similarity
prod_064,prod_092,0.9963497
prod_081,prod_097,0.9963306
prod_074,prod_089,0.99632674
prod_002,prod_079,0.996301
prod_012,prod_092,0.9962592
prod_022,prod_080,0.9961952
prod_037,prod_073,0.99609464
prod_015,prod_072,0.99609375
prod_067,prod_082,0.9960864
prod_026,prod_045,0.9960565
prod_037,prod_066,0.99596745
prod_019,prod_025,0.99595845
prod_049,prod_080,0.9959112
prod_031,prod_087,0.99590164
prod_040,prod_079,0.9958114
prod_025,prod_046,0.9958005
prod_050,prod_054,0.99577725
prod_002,prod_016,0.99577147
prod_007,prod_042,0.9957639
prod_066,prod_076,0.9957425
prod_061,prod_099,0.9957418
prod_007,prod_082,0.9957329
prod_033,prod_088,0.995721
prod_009,prod_074,0.9956904
prod_012,prod_047,0.9956852
prod_060,prod_081,0.9956085
prod_048,prod_077,0.9956046
prod_011,prod_065,0.9955021
prod_032,prod_079,0.995491
prod_079,prod_088,0.9954794
prod_006,prod_043,0.9954762
prod_010,prod_061,0.99542826
prod_038,prod_086,0.9953494
prod_033,prod_079,0.9952998
prod_016,prod_079,0.99528706
prod_038,prod_044,0.9952209
prod_027,prod_073,0.995189
prod_077,prod_088,0.9951562
prod_058,prod_077,0.99512076
prod_073,prod_088,0.9951066
prod_043,prod_093,0.99508
prod_058,prod_083,0.9950219
prod_062,prod_084,0.9950099
prod_057,prod_062,0.99484664
prod_040,prod_056,0.99484265
prod_025,prod_095,0.9948032
prod_043,prod_055,0.99467474
prod_083,prod_092,0.9946702
prod_007,prod_067,0.9946283
prod_061,prod_095,0.9946097
prod_037,prod_083,0.99450195
prod_012,prod_032,0.99447626
prod_032,prod_077,0.9944718
prod_048,prod_092,0.9944311
prod_022,prod_098,0.9944193
prod_022,prod_028,0.9943831
prod_071,prod_086,0.99438024
prod_011,prod_062,0.9943582
prod_047,prod_058,0.99435455
prod_064,prod_079,0.9943296
prod_002,prod_077,0.9942523
prod_018,prod_085,0.9942044
prod_065,prod_084,0.9941732
prod_010,prod_099,0.9941505
prod_012,prod_088,0.99406904
prod_025,prod_061,0.99405134
prod_030,prod_065,0.99392414
prod_002,prod_012,0.9939129
prod_006,prod_097,0.99381196
prod_001,prod_021,0.99367076
prod_001,prod_041,0.99363667
prod_083,prod_088,0.99362344
prod_019,prod_099,0.993581
prod_078,prod_086,0.9934757
prod_044,prod_078,0.9934719
prod_016,prod_032,0.99345833
prod_002,prod_073,0.9934385
prod_027,prod_037,0.9934296
prod_047,prod_066,0.9934166
prod_032,prod_073,0.99339986
prod_016,prod_092,0.9933933
prod_044,prod_057,0.9933869
prod_056,prod_079,0.9933816
prod_093,prod_097,0.9933666
prod_019,prod_090,0.99333626
prod_012,prod_064,0.99331534
prod_044,prod_071,0.99327934
prod_048,prod_066,0.9932137
prod_019,prod_046,0.9932062
prod_048,prod_088,0.9931985
prod_008,prod_082,0.9931831
prod_077,prod_083,0.9931303
prod_062,prod_078,0.9929412
prod_046,prod_057,0.99285185
prod_031,prod_039,0.992772
prod_018,prod_067,0.99276084
prod_007,prod_015,0.9927168
prod_047,prod_073,0.9926871
prod_008,prod_085,0.9926596
prod_012,prod_073,0.99264723
prod_004,prod_053,0.99259543
prod_057,prod_086,0.9925069
prod_002,prod_083,0.9923759
prod_038,prod_046,0.9923093
prod_017,prod_093,0.99225193
prod_008,prod_067,0.9922449
prod_066,prod_073,0.992206
prod_006,prod_017,0.9921604
prod_044,prod_046,0.9920854
prod_051,prod_086,0.99193496
prod_040,prod_088,0.9919345
prod_086,prod_089,0.99189013
prod_052,prod_085,0.99188673
prod_032,prod_083,0.99188477
prod_008,prod_042,0.9918645
prod_016,prod_088,0.9918633
prod_008,prod_026,0.99186206
prod_042,prod_067,0.99183095
prod_010,prod_095,0.9917648
prod_027,prod_058,0.99174494
prod_009,prod_086,0.9916786
prod_019,prod_095,0.9915624
prod_032,prod_040,0.9915403
prod_064,prod_077,0.9915268
prod_046,prod_086,0.9914858
prod_023,prod_060,0.99144715
prod_079,prod_092,0.9914002
prod_015,prod_018,0.9913812
prod_046,prod_078,0.99129343
prod_015,prod_067,0.9912733
prod_068,prod_093,0.99127
prod_015,prod_052,0.9912305
prod_006,prod_068,0.9911753
prod_026,prod_076,0.99114317
prod_018,prod_082,0.9911267
prod_032,prod_048,0.9911138
prod_002,prod_048,0.9910589
prod_037,prod_077,0.991058
prod_022,prod_030,0.9910462
prod_038,prod_062,0.99102694
prod_000,prod_053,0.99094546
prod_016,prod_060,0.9909233
prod_033,prod_083,0.99081844
prod_023,prod_056,0.99072564
prod_047,prod_048,0.99064046
prod_020,prod_053,0.99063593
prod_033,prod_077,0.9905389
prod_022,prod_062,0.9904786
prod_012,prod_033,0.9904189
prod_066,prod_077,0.9904067
prod_033,prod_073,0.99037784
prod_005,prod_006,0.9903194
prod_049,prod_084,0.99031055
prod_023,prod_096,0.990274
prod_044,prod_051,0.9902314
prod_002,prod_040,0.9901871
prod_052,prod_082,0.99005944
prod_011,prod_098,0.9900579
prod_047,prod_092,0.9900199
prod_052,prod_067,0.9899985
prod_058,prod_092,0.98993975
prod_005,prod_093,0.9899181
prod_057,prod_080,0.98989606
prod_044,prod_089,0.989895
prod_009,prod_044,0.9897973
prod_016,prod_081,0.98977387
prod_021,prod_097,0.9897309
prod_008,prod_045,0.9896593
prod_037,prod_047,0.98963416
prod_079,prod_083,0.9895709
prod_046,prod_099,0.9895565
prod_021,prod_055,0.98950857
prod_006,prod_024,0.98947
prod_024,prod_093,0.9894158
prod_001,prod_006,0.98940444
prod_084,prod_098,0.9893953
prod_013,prod_087,0.98935306
prod_011,prod_028,0.9893449
prod_012,prod_048,0.9893041
prod_078,prod_080,0.9892502
prod_027,prod_092,0.98919696
prod_028,prod_084,0.9891473
prod_023,prod_068,0.9891444
prod_009,prod_014,0.9891211
prod_054,prod_070,0.9890721
prod_016,prod_096,0.9890707
prod_018,prod_072,0.98892105
prod_030,prod_075,0.988912
prod_004,prod_013,0.98890245
prod_046,prod_061,0.98888224
prod_001,prod_093,0.98886037
prod_058,prod_076,0.98878455
prod_035,prod_090,0.98874044
prod_064,prod_073,0.98870164
prod_023,prod_024,0.9886221
prod_038,prod_074,0.98856616
prod_027,prod_088,0.9885547
prod_041,prod_097,0.9885484
prod_018,prod_042,0.9885337
prod_012,prod_058,0.9883952
prod_014,prod_046,0.9883443
prod_022,prod_094,0.98825586
prod_093,prod_096,0.98821825
prod_003,prod_091,0.9880814
prod_058,prod_088,0.9880313
prod_033,prod_048,0.98801506
prod_066,prod_083,0.98800933
prod_017,prod_021,0.98800683
prod_006,prod_096,0.9879814
prod_005,prod_023,0.9879701
prod_046,prod_049,0.98794734
prod_075,prod_098,0.98791933
prod_041,prod_055,0.9878963
prod_008,prod_015,0.98784286
prod_010,prod_057,0.9878413
prod_017,prod_023,0.98782635
prod_033,prod_040,0.9876941
prod_023,prod_081,0.9876137
prod_031,prod_069,0.9876091
prod_030,prod_094,0.9875969
prod_039,prod_069,0.9875313
prod_016,prod_024,0.98742247
prod_013,prod_031,0.98737514
prod_065,prod_080,0.9873733
prod_011,prod_049,0.98730814
prod_046,prod_074,0.9873031
prod_073,prod_079,0.9872607
prod_042,prod_052,0.9872559
prod_002,prod_027,0.9872217
prod_094,prod_098,0.98720896
prod_028,prod_075,0.98700094
prod_017,prod_041,0.9869998
prod_014,prod_025,0.98699087
prod_047,prod_088,0.9869535
prod_060,prod_093,0.98695
prod_036,prod_063,0.9868972
prod_027,prod_079,0.9868781
prod_028,prod_094,0.98681813
prod_027,prod_077,0.9868123
prod_016,prod_040,0.98679155
prod_021,prod_068,0.98666906
prod_037,prod_076,0.98666364
prod_038,prod_080,0.98661673
prod_046,prod_095,0.98657656
prod_012,prod_083,0.9865729
prod_064,prod_083,0.98656005
prod_090,prod_099,0.9865397
prod_007,prod_026,0.9864963
prod_006,prod_060,0.9864899
prod_023,prod_097,0.9864734
prod_040,prod_083,0.98641104
prod_047,prod_076,0.98638546
prod_052,prod_072,0.9863606
prod_056,prod_081,0.9863392
prod_004,prod_075,0.9863141
prod_009,prod_091,0.9862904
prod_013,prod_039,0.9862889
prod_016,prod_056,0.98622644
prod_016,prod_068,0.9861724
prod_027,prod_032,0.9861583
prod_045,prod_066,0.9861433
prod_037,prod_092,0.98603433
prod_027,prod_033,0.9859617
prod_041,prod_068,0.98595804
prod_048,prod_079,0.98581356
prod_040,prod_064,0.98579776
prod_044,prod_049,0.9857871
prod_016,prod_083,0.9857669
prod_074,prod_078,0.98574054
prod_034,prod_059,0.9856978
prod_090,prod_095,0.9856779
prod_010,prod_090,0.9856663
prod_032,prod_047,0.9856134
prod_020,prod_030,0.98555845
prod_005,prod_016,0.9854885
prod_005,prod_021,0.98541933
prod_014,prod_091,0.9853905
prod_010,prod_038,0.9853372
prod_031,prod_075,0.9853315
prod_032,prod_058,0.98529565
prod_003,prod_009,0.98524237
prod_047,prod_083,0.9852375
prod_069,prod_087,0.985215
prod_048,prod_064,0.9850773
prod_004,prod_030,0.9850419
prod_027,prod_040,0.98501396
prod_049,prod_086,0.9850113
prod_006,prod_055,0.984998
prod_029,prod_036,0.9849417
prod_084,prod_094,0.98492986
prod_057,prod_074,0.98488915
prod_013,prod_030,0.98476785
prod_030,prod_084,0.98469025
prod_023,prod_040,0.9846637
prod_010,prod_044,0.9846575
prod_002,prod_058,0.98464257
prod_011,prod_030,0.98460513
prod_000,prod_030,0.98457247
prod_055,prod_093,0.98456806
prod_021,prod_024,0.9845608
prod_080,prod_094,0.9845271
prod_010,prod_078,0.98452234
prod_022,prod_049,0.98451686
prod_037,prod_088,0.9844616
prod_002,prod_047,0.9844562
prod_075,prod_087,0.9843285
prod_005,prod_041,0.9842585
prod_077,prod_079,0.9842421
prod_023,prod_079,0.9841561
prod_016,prod_023,0.98412275
prod_015,prod_039,0.98408264
prod_040,prod_092,0.98404586
prod_056,prod_060,0.9839917
prod_027,prod_066,0.98394895
prod_016,prod_017,0.9839466
prod_016,prod_073,0.98394334
prod_033,prod_060,0.98384905
prod_089,prod_091,0.98383355
prod_012,prod_016,0.98383117
prod_014,prod_086,0.98378086
prod_024,prod_041,0.9836798
prod_050,prod_070,0.983588
prod_079,prod_081,0.98356307
prod_016,prod_077,0.983507
prod_010,prod_014,0.98340946
prod_014,prod_074,0.9832671
prod_046,prod_062,0.9832628
prod_060,prod_079,0.9832597
prod_010,prod_086,0.9832137
prod_021,prod_096,0.9832113
prod_012,prod_066,0.98320574
prod_007,prod_018,0.983201
prod_010,prod_049,0.98303574
prod_033,prod_081,0.98302066
prod_039,prod_053,0.98292637
prod_034,prod_054,0.98290694
prod_033,prod_056,0.9828773
prod_041,prod_096,0.98280454
prod_011,prod_094,0.98269814
prod_080,prod_098,0.98267335
prod_012,prod_079,0.98256415
prod_025,prod_090,0.98256165
prod_057,prod_084,0.9825451
prod_012,prod_037,0.98254114
prod_040,prod_073,0.982525
prod_013,prod_020,0.98245305
prod_008,prod_036,0.98243296
prod_002,prod_056,0.98241174
prod_000,prod_013,0.9823076
prod_051,prod_091,0.98228776
prod_040,prod_048,0.9822851
prod_063,prod_076,0.9822085
prod_013,prod_098,0.9821954
prod_006,prod_081,0.98217034
prod_028,prod_080,0.98216784
prod_056,prod_096,0.98201984
prod_032,prod_056,0.98199666
prod_013,prod_028,0.98190355
prod_019,prod_057,0.98189783
prod_007,prod_045,0.9818412
prod_033,prod_096,0.98172617
prod_053,prod_087,0.9817027
prod_059,prod_070,0.98161477
prod_065,prod_094,0.9816113
prod_016,prod_027,0.9816006
prod_056,prod_088,0.9815934
prod_021,prod_060,0.9815088
prod_041,prod_060,0.9814981
prod_066,prod_092,0.9814836
prod_078,prod_084,0.98143035
prod_013,prod_053,0.98142666
prod_060,prod_064,0.9813561
prod_016,prod_048,0.98133165
prod_014,prod_044,0.98132515
prod_065,prod_075,0.98119754
prod_005,prod_056,0.9811857
prod_047,prod_064,0.98115486
prod_009,prod_046,0.9811364
prod_003,prod_089,0.98112726
prod_081,prod_093,0.98106325
prod_010,prod_062,0.98097533
prod_024,prod_056,0.9809185
prod_007,prod_036,0.98091495
prod_032,prod_037,0.9809013
prod_014,prod_089,0.98073345
prod_056,prod_068,0.980728
prod_002,prod_037,0.98071426
prod_045,prod_063,0.9806139
prod_066,prod_088,0.9805635
prod_016,prod_097,0.9805522
prod_020,prod_075,0.980518
prod_062,prod_065,0.9804583
prod_027,prod_064,0.9804278
prod_015,prod_069,0.98038197
prod_000,prod_075,0.9803113
prod_026,prod_072,0.9802983
prod_003,prod_051,0.9802587
prod_043,prod_097,0.9801153
prod_038,prod_071,0.9800721
prod_014,prod_051,0.9799694
prod_036,prod_045,0.97993755
prod_056,prod_064,0.9799371
prod_079,prod_096,0.9799018
prod_025,prod_044,0.9798422
prod_036,prod_042,0.9797418
prod_059,prod_090,0.97973907
prod_039,prod_075,0.9796777
prod_025,prod_057,0.97963554
prod_011,prod_057,0.9795956
prod_033,prod_058,0.9795301
prod_071,prod_091,0.9794938
prod_014,prod_071,0.9794362
prod_063,prod_066,0.9793997
prod_024,prod_033,0.97926134
prod_019,prod_062,0.9792285
prod_020,prod_028,0.97916985
prod_039,prod_042,0.97898513
prod_007,prod_052,0.97897285
prod_014,prod_099,0.9789638
prod_039,prod_052,0.9788827
prod_048,prod_076,0.9787338
prod_025,prod_086,0.97866166
prod_017,prod_056,0.978646
prod_004,prod_028,0.97863424
prod_010,prod_074,0.978615
prod_023,prod_033,0.97848636
prod_033,prod_047,0.9783639
prod_038,prod_084,0.97817314
prod_004,prod_098,0.9781311
prod_012,prod_027,0.9780177
prod_058,prod_064,0.97795063
prod_000,prod_028,0.97792923
prod_019,prod_049,0.977901
prod_024,prod_079,0.97784823
prod_020,prod_098,0.9777895
prod_042,prod_069,0.97777206
prod_025,prod_038,0.97775966
prod_017,prod_043,0.9776783
prod_006,prod_023,0.9776446
prod_046,prod_071,0.9775801
prod_033,prod_068,0.97756785
prod_027,prod_047,0.97752744
prod_015,prod_087,0.9775116
prod_023,prod_064,0.9774744
prod_030,prod_080,0.97742045
prod_044,prod_062,0.9773728
prod_056,prod_097,0.97735095
prod_019,prod_038,0.9772932
prod_073,prod_076,0.97728324
prod_040,prod_077,0.9772302
prod_002,prod_060,0.9772137
prod_032,prod_066,0.97714686
prod_003,prod_014,0.9771282
prod_011,prod_078,0.9771239
prod_076,prod_077,0.9769413
prod_005,prod_033,0.9769248
prod_064,prod_096,0.9769165
prod_019,prod_078,0.9768798
prod_068,prod_079,0.9768381
prod_036,prod_072,0.9768212
prod_009,prod_038,0.97674286
prod_000,prod_098,0.97671884
prod_014,prod_038,0.9766352
prod_014,prod_095,0.9765819
prod_005,prod_079,0.97654176
prod_071,prod_078,0.97653425
prod_040,prod_081,0.9763942
prod_023,prod_093,0.9763861
prod_025,prod_078,0.97636247
prod_062,prod_094,0.97629225
prod_026,prod_067,0.97628367
prod_008,prod_076,0.97624713
prod_026,prod_066,0.9762055
prod_064,prod_081,0.9761315
prod_038,prod_089,0.9760786
prod_058,prod_079,0.97598684
prod_023,prod_041,0.9759734
prod_043,prod_068,0.9759306
prod_038,prod_051,0.97582567
prod_025,prod_074,0.9757814
prod_033,prod_037,0.97566223
prod_046,prod_090,0.97565776
prod_002,prod_023,0.97565037
prod_062,prod_086,0.97558635
prod_074,prod_091,0.97556967
prod_045,prod_072,0.9753396
prod_023,prod_032,0.9753061
prod_021,prod_081,0.9752859
prod_045,prod_058,0.9752726
prod_034,prod_050,0.97515917
prod_002,prod_066,0.9751068
prod_057,prod_061,0.9750878
prod_003,prod_071,0.975075
prod_002,prod_081,0.97501284
prod_008,prod_018,0.97499853
prod_017,prod_033,0.9749721
prod_019,prod_044,0.9748262
prod_004,prod_087,0.97479707
prod_086,prod_091,0.974741
prod_049,prod_074,0.97448283
prod_029,prod_069,0.9744696
prod_046,prod_080,0.9744628
prod_044,prod_099,0.9744536
prod_022,prod_057,0.9744198
prod_053,prod_075,0.9743892
prod_057,prod_071,0.9743804
prod_018,prod_039,0.9743122
prod_005,prod_043,0.97424835
prod_056,prod_083,0.97420174
prod_046,prod_051,0.97417945
prod_012,prod_040,0.9741595
prod_024,prod_064,0.974136
prod_014,prod_019,0.97409564
prod_015,prod_036,0.9740717
prod_014,prod_078,0.9740558
prod_046,prod_089,0.9739932
prod_041,prod_081,0.9739758
prod_037,prod_079,0.97396445
prod_027,prod_056,0.97393554
prod_017,prod_079,0.9738732
prod_037,prod_045,0.9737989
prod_052,prod_053,0.9737363
prod_035,prod_061,0.97368044
prod_011,prod_038,0.97361845
prod_022,prod_078,0.97350234
prod_037,prod_064,0.97349125
prod_039,prod_082,0.9734377
prod_025,prod_049,0.97341245
prod_032,prod_060,0.9734005
prod_056,prod_092,0.97339284
prod_002,prod_096,0.97334766
prod_040,prod_060,0.9733287
prod_034,prod_035,0.9733086
prod_026,prod_036,0.97323376
prod_069,prod_082,0.973211
prod_013,prod_065,0.97321093
prod_064,prod_068,0.9731631
prod_024,prod_043,0.97309947
prod_062,prod_098,0.97300553
prod_036,prod_082,0.97297937
prod_009,prod_078,0.9729633
prod_009,prod_025,0.9727588
prod_026,prod_085,0.9727394
prod_029,prod_063,0.9726955
prod_004,prod_039,0.97268456
prod_037,prod_063,0.9726526
prod_021,prod_023,0.9726183
prod_045,prod_047,0.9726095
prod_019,prod_086,0.9726019
prod_042,prod_087,0.9724005
prod_014,prod_057,0.972385
prod_074,prod_099,0.9723207
prod_086,prod_099,0.9722745
prod_040,prod_058,0.9722439
prod_023,prod_088,0.9722182
prod_049,prod_094,0.9722092
prod_078,prod_089,0.9721994
prod_020,prod_094,0.97209114
prod_051,prod_078,0.9719219
prod_000,prod_094,0.97188777
prod_028,prod_062,0.9718686
prod_009,prod_010,0.9717537
prod_043,prod_096,0.97166324
prod_026,prod_082,0.97155154
prod_044,prod_095,0.97137135
prod_061,prod_062,0.9712985
prod_052,prod_087,0.9712713
prod_010,prod_080,0.9710888
prod_058,prod_063,0.97097033
prod_039,prod_085,0.9709512
prod_037,prod_040,0.97092825
prod_005,prod_064,0.9709276
prod_008,prod_052,0.9708625
prod_032,prod_081,0.97080016
prod_009,prod_057,0.97073895
prod_040,prod_096,0.97070575
prod_033,prod_097,0.9706768
prod_079,prod_097,0.97063136
prod_016,prod_058,0.9704048
prod_002,prod_024,0.9703126
prod_044,prod_061,0.9702679
prod_049,prod_065,0.9701827
prod_076,prod_083,0.9700479
prod_060,prod_088,0.97004247
prod_025,prod_062,0.97003686
prod_036,prod_076,0.9700362
prod_047,prod_079,0.9700143
prod_057,prod_099,0.9699971
prod_074,prod_095,0.96996164
prod_036,prod_085,0.9698746
prod_044,prod_091,0.96974397
prod_060,prod_092,0.9696119
prod_022,prod_038,0.9695716
prod_043,prod_060,0.9695588
prod_026,prod_063,0.969555
prod_017,prod_064,0.96945506
prod_038,prod_061,0.9694395
prod_032,prod_096,0.9694114
prod_026,prod_042,0.9692613
prod_051,prod_057,0.9691762
prod_057,prod_089,0.969144
prod_049,prod_061,0.96911204
prod_081,prod_092,0.9690816
prod_009,prod_099,0.9690775
prod_086,prod_095,0.9690277
prod_019,prod_080,0.96902084
prod_012,prod_076,0.9688339
prod_015,prod_031,0.96882004
prod_002,prod_068,0.9687903
prod_019,prod_035,0.9686645
prod_061,prod_078,0.9685774
prod_081,prod_088,0.9684348
prod_026,prod_047,0.968426
prod_004,prod_094,0.9684234
prod_001,prod_097,0.9683975
prod_016,prod_047,0.96831846
prod_024,prod_040,0.96823347
prod_035,prod_070,0.9680062
prod_045,prod_082,0.96785134
prod_044,prod_080,0.96784794
prod_056,prod_073,0.96763676
prod_022,prod_075,0.96761405
prod_005,prod_040,0.9676064
prod_014,prod_061,0.96759015
prod_002,prod_005,0.9675875
prod_033,prod_066,0.96749794
prod_009,prod_095,0.96735483
prod_013,prod_069,0.9673518
prod_061,prod_086,0.9671613
prod_048,prod_056,0.96708953
prod_040,prod_068,0.96704
prod_003,prod_074,0.9670209
prod_036,prod_069,0.9669715
prod_038,prod_099,0.96693504
prod_019,prod_074,0.96689165
prod_016,prod_037,0.9668747
prod_042,prod_045,0.9668694
prod_080,prod_086,0.96686375
prod_045,prod_067,0.96680427
prod_064,prod_066,0.96670276
prod_010,prod_071,0.96658367
prod_092,prod_096,0.9664332
prod_018,prod_053,0.96642673
prod_069,prod_072,0.9661907
prod_024,prod_032,0.96589243
prod_020,prod_087,0.9658248
prod_018,prod_087,0.9657795
prod_069,prod_085,0.96577525
prod_000,prod_087,0.9657663
prod_007,prod_076,0.96575415
prod_039,prod_072,0.96575195
prod_062,prod_090,0.9656511
prod_088,prod_096,0.9656154
prod_030,prod_062,0.9655215
prod_057,prod_095,0.9655159
prod_045,prod_085,0.9655
prod_082,prod_087,0.9653553
prod_002,prod_017,0.9652864
prod_031,prod_053,0.96526164
prod_027,prod_076,0.9650936
prod_001,prod_017,0.9650565
prod_069,prod_075,0.9650008
prod_029,prod_045,0.96492064
prod_027,prod_081,0.9649056
prod_023,prod_092,0.96485156
prod_025,prod_071,0.9648106
prod_081,prod_083,0.9647857
prod_078,prod_099,0.96467465
prod_064,prod_097,0.96459794
prod_014,prod_049,0.9644501
prod_031,prod_042,0.96444523
prod_032,prod_068,0.964428
prod_017,prod_040,0.96424174
prod_066,prod_079,0.9641201
prod_020,prod_065,0.96363324
prod_000,prod_039,0.96357286
prod_026,prod_058,0.9634471
prod_046,prod_084,0.96340334
prod_004,prod_065,0.9633537
prod_038,prod_091,0.96334696
prod_057,prod_090,0.96329194
prod_048,prod_063,0.9632349
prod_024,prod_092,0.9632283
prod_062,prod_074,0.9631559
prod_061,prod_074,0.9631324
prod_005,prod_032,0.9630379
prod_001,prod_068,0.96299523
prod_020,prod_039,0.96298563
prod_030,prod_053,0.9628426
prod_046,prod_091,0.9627934
prod_040,prod_047,0.9627818
prod_023,prod_043,0.9627349
prod_010,prod_051,0.9625684
prod_049,prod_098,0.9625654
prod_008,prod_063,0.9625228
prod_040,prod_066,0.96246946
prod_085,prod_087,0.9623429
prod_004,prod_031,0.96232325
prod_038,prod_095,0.9622734
prod_024,prod_088,0.96225506
prod_010,prod_089,0.9620895
prod_008,prod_029,0.96201676
prod_049,prod_071,0.9620153
prod_025,prod_051,0.96192926
prod_059,prod_061,0.9619197
prod_076,prod_092,0.9618511
prod_011,prod_019,0.96184754
prod_000,prod_065,0.9617843
prod_011,prod_075,0.96167463
prod_028,prod_049,0.9616481
prod_055,prod_097,0.9616451
prod_043,prod_081,0.9616114
prod_015,prod_026,0.96161133
prod_071,prod_099,0.9615203
prod_025,prod_089,0.9614445
prod_040,prod_097,0.961348
prod_045,prod_048,0.9611575
prod_056,prod_077,0.9610823
prod_075,prod_094,0.9610798
prod_001,prod_005,0.96099955
prod_011,prod_046,0.9609828
prod_068,prod_092,0.9609468
prod_052,prod_069,0.96088475
prod_017,prod_032,0.9607315
prod_068,prod_088,0.96070147
prod_010,prod_084,0.96062684
prod_002,prod_097,0.9605195
prod_076,prod_088,0.96049505
prod_019,prod_084,0.9604644
prod_006,prod_056,0.96046424
prod_078,prod_091,0.96039736
prod_026,prod_037,0.9602021
prod_005,prod_092,0.9601945
prod_049,prod_099,0.96018106
prod_010,prod_011,0.9599979
prod_036,prod_067,0.95997554
prod_078,prod_095,0.9597448
prod_029,prod_042,0.95972556
prod_078,prod_094,0.9595478
prod_005,prod_088,0.95953745
prod_001,prod_024,0.95944345
prod_007,prod_069,0.95944345
prod_071,prod_095,0.9593864
prod_045,prod_073,0.9589387
prod_012,prod_056,0.95884067
prod_019,prod_059,0.95872056
prod_051,prod_099,0.9587039
prod_049,prod_090,0.95867187
prod_057,prod_094,0.9586312
